Restaurant Name,Rating,Type,Phone_Number,Latitude,Longitude,Neighborhood
416 Snack Bar,4.5,Tapas/Small Plates,           (416) 901-6333       ,43.6477264,-79.3962471,Downtown Core
AAamazing Salad,4,Soup,           (416) 466-5713       ,43.6824635,-79.328522,The Danforth
Abyssinia Ethiopian Restaurant,4,Ethiopian,           (416) 792-1878       ,43.6448775,-79.3987981,Kensington Market
Actinolite Restaurant,4,Canadian (New),           (647) 348-7661       ,43.679815,-79.341226,"Greektown, The Danforth"
African Palace,4,Ethiopian,           (647) 439-4065       ,43.648702,-79.388077,"Entertainment District, Downtown Core"
Agio,4,Italian,           (647) 352-5955       ,43.649571,-79.4840752,Bloor-West Village
Almond Butterfly Cafe & Bakeshop,4.5,Bakeries,           (647) 340-4663       ,43.6465869,-79.44901164,"Roncesvalles, High Park"
Amber European Restaurant,4.5,Modern European,           (416) 901-9233       ,43.6626328,-79.3340575,Leslieville
Andrea’s Gerrard Street Bakery,4.5,Bakeries,           (647) 889-6705       ,43.6289467,-79.3944199,Seaton Village
Annapurna Vegetarian Restaurant,4,Indian,           (416) 304-9134       ,43.6485436,-79.3938041,"Entertainment District, Downtown Core"
Apiecalypse Now!,4,Pizza,,43.6573638,-79.3808445,"Ryerson, Downtown Core"
Assembly Chef’s Hall,4.5,Food Court,           (647) 558-1508       ,43.6446796,-79.3909453,"Entertainment District, Downtown Core"
Ave Maria Latin Café,4,Coffee & Tea,           (416) 531-5833       ,43.65403948,-79.41367369,Little Italy
Aviv Restaurant,4,Mediterranean,           (647) 346-8222       ,43.64339331,-79.39220744,"Entertainment District, Downtown Core"
Awai,4,Vegetarian,           (416) 504-2253       ,43.669423,-79.393971,Yorkville
Away Kitchen and Cafe,4.5,Vegan,           (416) 855-4085       ,43.6639736,-79.4171032,"Koreatown, Seaton Village, Bickford Park, Palmerston"
Baddies,5,Coffee & Tea,,43.6477265,-79.3919752,"Entertainment District, Downtown Core"
Baker and Scone,4.5,Breakfast & Brunch,           (647) 352-5520       ,43.6549943,-79.4143309,Little Italy
Bampot House of Tea & Board Games,4,Tea Rooms,           (416) 591-1340       ,43.6542071,-79.4020543,Kensington Market
Banh Mi Boys,3.5,Vietnamese,           (647) 347-3695       ,43.6653215,-79.4093073,Kensington Market
Bannock,4,Canadian (New),           (647) 349-8876       ,43.6694467,-79.3865793,"Yorkville, Downtown Core"
Bar Isabel,3,Spanish,           (416) 534-1294       ,43.66565,-79.4092064,The Annex
Bar Mercurio,4,Italian,           (647) 352-4227       ,43.64576191,-79.41047933,"Niagara, West Queen West"
Bar Raval,4,Spanish,           (647) 350-3933       ,43.6417427,-79.4220511,Ossington Strip
Beach Hill Smokehouse,4.5,Barbeque,,,,
Beast Restaurant,4,Canadian (New),           (647) 351-2235       ,43.6726242,-79.3885437,Yorkville
Beerbistro,4,Bistros,           (416) 532-2222       ,43.6546473,-79.4207891,"Bickford Park, Little Italy"
